date,tenedor,value
2002/01,ENTIDADES DE CREDITO,68473
2002/01,BANCO DE ESPAÑA,3257
2002/01,ENTIDADES DE SEGUROS,16826
2002/01,FONDOS DE PENSIONES,5541
2002/01,FONDOS DE INVERSION,14451
2002/01,OTRAS INSTITUCIONES FINANCIERAS,972
2002/01,EMPRESAS NO FINANCIERAS,5654
2002/01,PERSONAS FÍSICAS,2352
2002/01,ADMINISTRACIONES PÚBLICAS,1409
2002/01,NO RESIDENTES,107514
2002/01,TOTAL,226449
2002/02,ENTIDADES DE CREDITO,66826
2002/02,BANCO DE ESPAÑA,3212
2002/02,ENTIDADES DE SEGUROS,17036
2002/02,FONDOS DE PENSIONES,5162
2002/02,FONDOS DE INVERSION,14134
2002/02,OTRAS INSTITUCIONES FINANCIERAS,775
2002/02,EMPRESAS NO FINANCIERAS,5693
2002/02,PERSONAS FÍSICAS,2282
2002/02,ADMINISTRACIONES PÚBLICAS,1451
2002/02,NO RESIDENTES,105207
2002/02,TOTAL,221779
2002/03,ENTIDADES DE CREDITO,68704
2002/03,BANCO DE ESPAÑA,3329
2002/03,ENTIDADES DE SEGUROS,17922
2002/03,FONDOS DE PENSIONES,4788
2002/03,FONDOS DE INVERSION,14000
2002/03,OTRAS INSTITUCIONES FINANCIERAS,844
2002/03,EMPRESAS NO FINANCIERAS,5746
2002/03,PERSONAS FÍSICAS,2303
2002/03,ADMINISTRACIONES PÚBLICAS,1455
2002/03,NO RESIDENTES,109058
2002/03,TOTAL,228149
2002/04,ENTIDADES DE CREDITO,70422
2002/04,BANCO DE ESPAÑA,3354
2002/04,ENTIDADES DE SEGUROS,18033
2002/04,FONDOS DE PENSIONES,4548
2002/04,FONDOS DE INVERSION,13645
2002/04,OTRAS INSTITUCIONES FINANCIERAS,1240
2002/04,EMPRESAS NO FINANCIERAS,5743
2002/04,PERSONAS FÍSICAS,2297
2002/04,ADMINISTRACIONES PÚBLICAS,1456
2002/04,NO RESIDENTES,109116
2002/04,TOTAL,229856
2002/05,ENTIDADES DE CREDITO,70574
2002/05,BANCO DE ESPAÑA,3349
2002/05,ENTIDADES DE SEGUROS,18359
2002/05,FONDOS DE PENSIONES,4590
2002/05,FONDOS DE INVERSION,13418
2002/05,OTRAS INSTITUCIONES FINANCIERAS,1475
2002/05,EMPRESAS NO FINANCIERAS,5737
2002/05,PERSONAS FÍSICAS,2365
2002/05,ADMINISTRACIONES PÚBLICAS,2673
2002/05,NO RESIDENTES,111791
2002/05,TOTAL,234331
2002/06,ENTIDADES DE CREDITO,71513
2002/06,BANCO DE ESPAÑA,3284
2002/06,ENTIDADES DE SEGUROS,18238
2002/06,FONDOS DE PENSIONES,4658
2002/06,FONDOS DE INVERSION,12927
2002/06,OTRAS INSTITUCIONES FINANCIERAS,1374
2002/06,EMPRESAS NO FINANCIERAS,5753
2002/06,PERSONAS FÍSICAS,2353
2002/06,ADMINISTRACIONES PÚBLICAS,3022
2002/06,NO RESIDENTES,109986
2002/06,TOTAL,233109
2002/07,ENTIDADES DE CREDITO,66366
2002/07,BANCO DE ESPAÑA,3209
2002/07,ENTIDADES DE SEGUROS,17718
2002/07,FONDOS DE PENSIONES,4610
2002/07,FONDOS DE INVERSION,11345
2002/07,OTRAS INSTITUCIONES FINANCIERAS,1492
2002/07,EMPRESAS NO FINANCIERAS,5876
2002/07,PERSONAS FÍSICAS,2282
2002/07,ADMINISTRACIONES PÚBLICAS,3668
2002/07,NO RESIDENTES,109627
2002/07,TOTAL,226192
2002/08,ENTIDADES DE CREDITO,65985
2002/08,BANCO DE ESPAÑA,3275
2002/08,ENTIDADES DE SEGUROS,17783
2002/08,FONDOS DE PENSIONES,4594
2002/08,FONDOS DE INVERSION,11575
2002/08,OTRAS INSTITUCIONES FINANCIERAS,1660
2002/08,EMPRESAS NO FINANCIERAS,6299
2002/08,PERSONAS FÍSICAS,2320
2002/08,ADMINISTRACIONES PÚBLICAS,3669
2002/08,NO RESIDENTES,110475
2002/08,TOTAL,227635
2002/09,ENTIDADES DE CREDITO,67336
2002/09,BANCO DE ESPAÑA,3482
2002/09,ENTIDADES DE SEGUROS,17177
2002/09,FONDOS DE PENSIONES,4550
2002/09,FONDOS DE INVERSION,11096
2002/09,OTRAS INSTITUCIONES FINANCIERAS,1973
2002/09,EMPRESAS NO FINANCIERAS,6383
2002/09,PERSONAS FÍSICAS,2321
2002/09,ADMINISTRACIONES PÚBLICAS,3672
2002/09,NO RESIDENTES,114323
2002/09,TOTAL,232313
2002/10,ENTIDADES DE CREDITO,67116
2002/10,BANCO DE ESPAÑA,3677
2002/10,ENTIDADES DE SEGUROS,17383
2002/10,FONDOS DE PENSIONES,4840
2002/10,FONDOS DE INVERSION,11635
2002/10,OTRAS INSTITUCIONES FINANCIERAS,1745
2002/10,EMPRESAS NO FINANCIERAS,6818
2002/10,PERSONAS FÍSICAS,2304
2002/10,ADMINISTRACIONES PÚBLICAS,3696
2002/10,NO RESIDENTES,113700
2002/10,TOTAL,232915
2002/11,ENTIDADES DE CREDITO,66475
2002/11,BANCO DE ESPAÑA,3875
2002/11,ENTIDADES DE SEGUROS,17203
2002/11,FONDOS DE PENSIONES,4575
2002/11,FONDOS DE INVERSION,11274
2002/11,OTRAS INSTITUCIONES FINANCIERAS,1821
2002/11,EMPRESAS NO FINANCIERAS,6652
2002/11,PERSONAS FÍSICAS,2334
2002/11,ADMINISTRACIONES PÚBLICAS,5440
2002/11,NO RESIDENTES,114000
2002/11,TOTAL,233648
2002/12,ENTIDADES DE CREDITO,68126
2002/12,BANCO DE ESPAÑA,4087
2002/12,ENTIDADES DE SEGUROS,17147
2002/12,FONDOS DE PENSIONES,4510
2002/12,FONDOS DE INVERSION,10546
2002/12,OTRAS INSTITUCIONES FINANCIERAS,1832
2002/12,EMPRESAS NO FINANCIERAS,6718
2002/12,PERSONAS FÍSICAS,2372
2002/12,ADMINISTRACIONES PÚBLICAS,5417
2002/12,NO RESIDENTES,114273
2002/12,TOTAL,235029
2003/01,ENTIDADES DE CREDITO,70579
2003/01,BANCO DE ESPAÑA,3975
2003/01,ENTIDADES DE SEGUROS,15716
2003/01,FONDOS DE PENSIONES,4203
2003/01,FONDOS DE INVERSION,9594
2003/01,OTRAS INSTITUCIONES FINANCIERAS,2376
2003/01,EMPRESAS NO FINANCIERAS,6145
2003/01,PERSONAS FÍSICAS,2147
2003/01,ADMINISTRACIONES PÚBLICAS,5328
2003/01,NO RESIDENTES,108344
2003/01,TOTAL,228407
2003/02,ENTIDADES DE CREDITO,71610
2003/02,BANCO DE ESPAÑA,3910
2003/02,ENTIDADES DE SEGUROS,16538
2003/02,FONDOS DE PENSIONES,4278
2003/02,FONDOS DE INVERSION,9408
2003/02,OTRAS INSTITUCIONES FINANCIERAS,1955
