country,date,value
Belgium,2019/01,1.8
Belgium,2019/02,2
Belgium,2019/03,2.2
Belgium,2019/04,2
Belgium,2019/05,1.7
Belgium,2019/06,1.3
Belgium,2019/07,1.2
Belgium,2019/08,0.9
Belgium,2019/09,0.6
Belgium,2019/10,0.2
Belgium,2019/11,0.4
Belgium,2019/12,0.9
Belgium,2020/01,1.4
Belgium,2020/02,1
Belgium,2020/03,0.4
Belgium,2020/04,0
Belgium,2020/05,-0.2
Belgium,2020/06,0.2
Belgium,2020/07,1.7
Belgium,2020/08,-0.9
Belgium,2020/09,0.5
Belgium,2020/10,0.4
Belgium,2020/11,0.2
Belgium,2020/12,0.4
Belgium,2021/01,0.6
Belgium,2021/02,0.3
Belgium,2021/03,1.6
Belgium,2021/04,2.1
Belgium,2021/05,2.5
Belgium,2021/06,2.6
Belgium,2021/07,1.4
Belgium,2021/08,4.7
Belgium,2021/09,3.8
Belgium,2021/10,5.4
Bulgaria,2019/01,2.3
Bulgaria,2019/02,2.4
Bulgaria,2019/03,2.8
Bulgaria,2019/04,3.1
Bulgaria,2019/05,2.9
Bulgaria,2019/06,2.3
Bulgaria,2019/07,2.6
Bulgaria,2019/08,2.5
Bulgaria,2019/09,1.6
Bulgaria,2019/10,1.6
Bulgaria,2019/11,2.2
Bulgaria,2019/12,3.1
Bulgaria,2020/01,3.4
Bulgaria,2020/02,3.1
Bulgaria,2020/03,2.4
Bulgaria,2020/04,1.3
Bulgaria,2020/05,1
Bulgaria,2020/06,0.9
Bulgaria,2020/07,0.4
Bulgaria,2020/08,0.6
Bulgaria,2020/09,0.6
Bulgaria,2020/10,0.6
Bulgaria,2020/11,0.3
Bulgaria,2020/12,0
Bulgaria,2021/01,-0.3
Bulgaria,2021/02,0.2
Bulgaria,2021/03,0.8
Bulgaria,2021/04,2
Bulgaria,2021/05,2.3
Bulgaria,2021/06,2.4
Bulgaria,2021/07,2.2
Bulgaria,2021/08,2.5
Bulgaria,2021/09,4
Bulgaria,2021/10,5.2
Czech Rep.,2019/01,2
Czech Rep.,2019/02,2.4
Czech Rep.,2019/03,2.6
Czech Rep.,2019/04,2.4
Czech Rep.,2019/05,2.6
Czech Rep.,2019/06,2.4
Czech Rep.,2019/07,2.6
Czech Rep.,2019/08,2.6
Czech Rep.,2019/09,2.6
Czech Rep.,2019/10,2.6
Czech Rep.,2019/11,3
Czech Rep.,2019/12,3.2
Czech Rep.,2020/01,3.8
Czech Rep.,2020/02,3.7
Czech Rep.,2020/03,3.6
Czech Rep.,2020/04,3.3
Czech Rep.,2020/05,3.1
Czech Rep.,2020/06,3.4
Czech Rep.,2020/07,3.6
Czech Rep.,2020/08,3.5
Czech Rep.,2020/09,3.3
Czech Rep.,2020/10,2.9
Czech Rep.,2020/11,2.8
Czech Rep.,2020/12,2.4
Czech Rep.,2021/01,2.2
Czech Rep.,2021/02,2.1
Czech Rep.,2021/03,2.3
Czech Rep.,2021/04,3.1
Czech Rep.,2021/05,2.7
Czech Rep.,2021/06,2.5
Czech Rep.,2021/07,2.7
Czech Rep.,2021/08,3.1
Czech Rep.,2021/09,4
Czech Rep.,2021/10,4.8
Denmark,2019/01,1.2
Denmark,2019/02,1.1
Denmark,2019/03,1.2
Denmark,2019/04,0.9
Denmark,2019/05,0.7
