"TIME,""GEO"",""UNIT"",""SECTOR"",""NA_ITEM"",""Value"",""Flag and Footnotes"""
"1975,""Spain"",""Million euro"",""Total economy"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million euro"",""Total economy"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million euro"",""General government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million euro"",""General government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million euro"",""Central government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million euro"",""Central government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million euro"",""State government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million euro"",""State government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million euro"",""Local government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million euro"",""Local government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million units of national currency"",""Total economy"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million units of national currency"",""Total economy"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million units of national currency"",""General government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million units of national currency"",""General government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million units of national currency"",""Central government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million units of national currency"",""Central government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million units of national currency"",""State government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million units of national currency"",""State government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Million units of national currency"",""Local government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Million units of national currency"",""Local government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""Total economy"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government expenditure"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""General government"",""Total general government revenue"","":"","""""
"1975,""Spain"",""Percentage of gross domestic product (GDP)"",""Central government"",""Total general government expenditure"","":"","""""
